sourceId,eventType,eventTime,currentAggregateRate
0,SOURCE_OFF,47.37531532079353,10.0
18,SOURCE_ON,47.610584077826026,11.0
2,SOURCE_ON,47.649610634943826,12.0
8,SOURCE_ON,47.66677302311165,13.0
17,SOURCE_OFF,47.83111838847421,12.0
10,SOURCE_OFF,47.9511522766437,11.0
19,SOURCE_ON,48.08054324668247,12.0
3,SOURCE_ON,48.132126145390764,13.0
7,SOURCE_OFF,48.2271501952364,12.0
12,SOURCE_ON,48.25341521075927,13.0
16,SOURCE_OFF,48.34782773351897,12.0
15,SOURCE_OFF,48.421196648230605,11.0
8,SOURCE_OFF,48.7447005751031,10.0
2,SOURCE_OFF,49.02716039754015,9.0
10,SOURCE_ON,49.04140897227216,10.0
6,SOURCE_OFF,49.04341539500028,9.0
0,SOURCE_ON,49.06593551562061,10.0
19,SOURCE_OFF,49.12402604391646,9.0
11,SOURCE_ON,49.264241779266555,10.0
18,SOURCE_OFF,49.3296317922817,9.0
3,SOURCE_OFF,49.974515923971005,8.0
1,SOURCE_ON,49.98336347510992,9.0
10,SOURCE_OFF,50.04538164961466,8.0
8,SOURCE_ON,50.05185700260254,9.0
5,SOURCE_OFF,50.08261166646343,8.0
12,SOURCE_OFF,50.45188856343658,7.0
6,SOURCE_ON,50.50666585841938,8.0
11,SOURCE_OFF,50.620440436431736,7.0
15,SOURCE_ON,50.89442429436066,8.0
3,SOURCE_ON,51.037335646603125,9.0
5,SOURCE_ON,51.09540419565301,10.0
19,SOURCE_ON,51.43507115503941,11.0
6,SOURCE_OFF,51.6852146179283,10.0
11,SOURCE_ON,51.81264977990119,11.0
15,SOURCE_OFF,52.04182801583744,10.0
1,SOURCE_OFF,52.15358924708892,9.0
5,SOURCE_OFF,52.221239504671736,8.0
14,SOURCE_OFF,52.24340232284514,7.0
17,SOURCE_ON,52.32206111154978,8.0
8,SOURCE_OFF,52.33990457551469,7.0
18,SOURCE_ON,52.46360591058121,8.0
19,SOURCE_OFF,52.579762794322804,7.0
10,SOURCE_ON,52.58028423192293,8.0
6,SOURCE_ON,52.77061895489983,9.0
3,SOURCE_OFF,52.954243687789855,8.0
15,SOURCE_ON,53.05480154493329,9.0
0,SOURCE_OFF,53.62386746269449,8.0
9,SOURCE_OFF,53.62928651687188,7.0
11,SOURCE_OFF,53.64959497989133,6.0
14,SOURCE_ON,53.79579735322441,7.0
12,SOURCE_ON,53.84260610555533,8.0
17,SOURCE_OFF,54.22886766907167,7.0
10,SOURCE_OFF,54.276560295254995,6.0
1,SOURCE_ON,54.42811035678327,7.0
12,SOURCE_OFF,54.869794034782416,6.0
8,SOURCE_ON,54.93184821550578,7.0
18,SOURCE_OFF,55.043787108233225,6.0
14,SOURCE_OFF,55.19590712789257,5.0
5,SOURCE_ON,55.23777401848898,6.0
9,SOURCE_ON,55.28541175345684,7.0
10,SOURCE_ON,55.328814079764484,8.0
17,SOURCE_ON,55.40267096912506,9.0
3,SOURCE_ON,55.59699817264059,10.0
6,SOURCE_OFF,55.66637815064735,9.0
16,SOURCE_ON,56.00783577432094,10.0
2,SOURCE_ON,56.019370745169304,11.0
14,SOURCE_ON,56.26659878878952,12.0
9,SOURCE_OFF,56.311123061353136,11.0
0,SOURCE_ON,56.36943286247897,12.0
15,SOURCE_OFF,56.58634800873439,11.0
1,SOURCE_OFF,56.624088249113605,10.0
6,SOURCE_ON,56.683658840577415,11.0
12,SOURCE_ON,56.75906139245781,12.0
7,SOURCE_ON,56.772419956088285,13.0
8,SOURCE_OFF,56.928790033205054,12.0
2,SOURCE_OFF,57.12511865513556,11.0
17,SOURCE_OFF,57.26462046280432,10.0
5,SOURCE_OFF,57.27748099286424,9.0
18,SOURCE_ON,57.62909886385997,10.0
9,SOURCE_ON,57.7127420996925,11.0
1,SOURCE_ON,57.71875022929987,12.0
0,SOURCE_OFF,57.75909689303246,11.0
14,SOURCE_OFF,57.959960703948134,10.0
6,SOURCE_OFF,58.12299254725115,9.0
2,SOURCE_ON,58.27167405731531,10.0
17,SOURCE_ON,58.40160892127115,11.0
8,SOURCE_ON,58.45423863055075,12.0
10,SOURCE_OFF,58.6561289644636,11.0
0,SOURCE_ON,58.89549920483835,12.0
1,SOURCE_OFF,59.04007969062849,11.0
16,SOURCE_OFF,59.103744236369586,10.0
7,SOURCE_OFF,59.131568876928995,9.0
5,SOURCE_ON,59.219105315905075,10.0
18,SOURCE_OFF,59.30301867102362,9.0
2,SOURCE_OFF,59.343618706717585,8.0
8,SOURCE_OFF,59.492079326225266,7.0
9,SOURCE_OFF,59.52380615820611,6.0
17,SOURCE_OFF,59.605602841367144,5.0
10,SOURCE_ON,59.88515914320743,6.0
1,SOURCE_ON,60.06525726265092,7.0
